bacteria,eps,adesao,estresse,manosidase,fosfolipase,acido_folico,bacteriocina,sais_biliares,betagalactosidase,tolerancia_gastro,metabolismo_carbono,total_funcoes
Lactiplantibacillus argentoratensis,1,1,1,0,0,1,0,0,0,0,1,5
Lactiplantibacillus daoliensis,1,1,1,0,0,1,0,0,0,0,1,5
Lactiplantibacillus daowaiensis,1,1,1,0,0,1,0,0,0,0,1,5
Lactiplantibacillus dongliensis,1,1,1,0,0,1,0,0,0,0,1,5
Lactiplantibacillus fabifermentans,1,1,1,0,0,1,0,0,0,0,1,5
Lactiplantibacillus garii,1,1,1,0,0,1,0,0,0,0,1,5
Lactiplantibacillus herbarum,1,1,1,0,0,1,0,0,0,0,1,5
Lactiplantibacillus mudanjiangensis,1,1,1,0,0,1,0,0,0,0,1,5
Lactiplantibacillus nangangensis,1,1,1,0,0,1,0,0,0,0,1,5
Lactiplantibacillus pentosus,1,1,1,0,0,1,0,0,0,0,1,5
Lactiplantibacillus pingfangensis,1,1,1,0,0,1,0,0,0,0,1,5
Lactiplantibacillus plajomi,1,1,1,0,0,1,0,0,0,0,1,5
Lactiplantibacillus plantarum,1,1,1,0,0,1,0,0,0,0,1,5
Lactiplantibacillus songbeiensis,1,1,1,0,0,1,0,0,0,0,1,5
Lactiplantibacillus xiangfangensis,1,1,1,0,0,1,0,0,0,0,1,5
Lactiplantibacillus modestisalitolerans,1,1,1,0,0,1,0,0,0,0,1,5
Lacticaseibacillus absianus,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus baoqingensis,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus brantae,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus camelliae,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus casei,1,1,1,0,0,0,0,1,0,1,1,6
Lacticaseibacillus chiayiensis,1,1,1,0,0,0,1,1,0,1,1,7
Lacticaseibacillus daqingensis,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus hegangensis,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus jixianensis,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus kribbianus,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus manihotivorans,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus mingshuiensis,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus nasuensis,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus paracasei,1,1,1,0,0,0,1,1,0,1,1,7
Lacticaseibacillus parakribbianus,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus porcinae,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus rhamnosus,1,1,1,0,0,0,1,1,0,1,1,7
Lacticaseibacillus saniviri,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus suibinensis,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus suilingensis,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus yichunensis,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus zeae,1,1,1,0,0,0,1,1,0,1,1,7
Bacteroides caecicola,1,1,1,0,0,0,0,0,0,0,1,4
Lacticaseibacillus hulanensis,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus pantheris,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus sharpeae,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus songhuajiangensis,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus thailandensis,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus zhaodongensis,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus acetotolerans,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus acidophilus,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus agrestimuris,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus amylolyticus,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus amylovorus,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus apis,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus bombicola,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus colini,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus corticis,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus crispatus,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus delbrueckii,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus equicursoris,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus gallinarum,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus gasseri,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus gigeriorum,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus hamsteri,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus helsingborgensis,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus helveticus,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus hominis,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus huangpiensis,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus iners,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus intestinalis,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus jensenii,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus johnsonii,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus kalixensis,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus kefiranofaciens,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus kimbladii,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus kitasatonis,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus kullabergensis,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus laiwuensis,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus leichmannii,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus melliventris,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus mulieris,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus nasalidis,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus panisapium,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus paragasseri,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus pasteurii,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus porci,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus psittaci,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus rodentium,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus selangorensis,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus taiwanensis,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus terrae,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus ultunensis,1,1,1,0,0,0,0,0,0,0,1,4
Lactobacillus xujianguonis,1,1,1,0,0,0,0,0,0,0,1,4
Levilactobacillus acidifarinae,1,1,1,0,0,0,0,0,0,0,1,4
Levilactobacillus andaensis,1,1,1,0,0,0,0,0,0,0,1,4
Levilactobacillus angrenensis,1,1,1,0,0,0,0,0,0,0,1,4
Levilactobacillus bambusae,1,1,1,0,0,0,0,0,0,0,1,4
Levilactobacillus brevis,1,1,1,0,0,0,0,0,0,0,1,4
Levilactobacillus cerevisiae,1,1,1,0,0,0,0,0,0,0,1,4
Levilactobacillus enshiensis,1,1,1,0,0,0,0,0,0,0,1,4
