bacteria,eps,adesao,estresse,manosidase,fosfolipase,acido_folico,bacteriocina,sais_biliares,betagalactosidase,tolerancia_gastro,metabolismo_carbono,total_funcoes
Levilactobacillus fujinensis,1,1,1,0,0,0,0,0,0,0,1,4
Levilactobacillus fuyuanensis,1,1,1,0,0,0,0,0,0,0,1,4
Levilactobacillus hammesii,1,1,1,0,0,0,0,0,0,0,1,4
Levilactobacillus huananensis,1,1,1,0,0,0,0,0,0,0,1,4
Levilactobacillus humaensis,1,1,1,0,0,0,0,0,0,0,1,4
Levilactobacillus koreensis,1,1,1,0,0,0,0,0,0,0,1,4
Levilactobacillus lanxiensis,1,1,1,0,0,0,0,0,0,0,1,4
Levilactobacillus lindianensis,1,1,1,0,0,0,0,0,0,0,1,4
Levilactobacillus mulengensis,1,1,1,0,0,0,0,0,0,0,1,4
Levilactobacillus namurensis,1,1,1,0,0,0,0,0,0,0,1,4
Levilactobacillus parabrevis,1,1,1,0,0,0,0,0,0,0,1,4
Levilactobacillus paucivorans,1,1,1,0,0,0,0,0,0,0,1,4
Levilactobacillus senmaizukei,1,1,1,0,0,0,0,0,0,0,1,4
Levilactobacillus spicheri,1,1,1,0,0,0,0,0,0,0,1,4
Levilactobacillus suantsaii,1,1,1,0,0,0,0,0,0,0,1,4
Levilactobacillus suantsaiihabitans,1,1,1,0,0,0,0,0,0,0,1,4
Levilactobacillus tangyuanensis,1,1,1,0,0,0,0,0,0,0,1,4
Levilactobacillus tongjiangensis,1,1,1,0,0,0,0,0,0,0,1,4
Levilactobacillus tujiorum,1,1,1,0,0,0,0,0,0,0,1,4
Levilactobacillus wangkuiensis,1,1,1,0,0,0,0,0,0,0,1,4
Levilactobacillus yiduensis,1,1,1,0,0,0,0,0,0,0,1,4
Levilactobacillus yonginensis,1,1,1,0,0,0,0,0,0,0,1,4
Levilactobacillus zymae,1,1,1,0,0,0,0,0,0,0,1,4
Ligilactobacillus acidipiscis,1,1,1,0,0,0,0,0,0,0,1,4
Ligilactobacillus agilis,1,1,1,0,0,0,0,0,0,0,1,4
Ligilactobacillus animalis,1,1,1,0,0,0,0,0,0,0,1,4
Ligilactobacillus apodemi,1,1,1,0,0,0,0,0,0,0,1,4
Ligilactobacillus araffinosus,1,1,1,0,0,0,0,0,0,0,1,4
Ligilactobacillus aviarius,1,1,1,0,0,0,0,0,0,0,1,4
Ligilactobacillus ceti,1,1,1,0,0,0,0,0,0,0,1,4
Ligilactobacillus equi,1,1,1,0,0,0,0,0,0,0,1,4
Ligilactobacillus hayakitensis,1,1,1,0,0,0,0,0,0,0,1,4
Ligilactobacillus murinus,1,1,1,0,0,0,0,0,0,0,1,4
Ligilactobacillus pabuli,1,1,1,0,0,0,0,0,0,0,1,4
Ligilactobacillus pobuzihii,1,1,1,0,0,0,0,0,0,0,1,4
Ligilactobacillus ruminis,1,1,1,0,0,0,0,0,0,0,1,4
Ligilactobacillus salitolerans,1,1,1,0,0,0,0,0,0,0,1,4
Ligilactobacillus salivarius,1,1,1,0,0,0,0,0,0,0,1,4
Ligilactobacillus ubinensis,1,1,1,0,0,0,0,0,0,0,1,4
Limosilactobacillus agrestimuris,1,1,1,0,0,0,0,0,0,0,1,4
Limosilactobacillus agrestis,1,1,1,0,0,0,0,0,0,0,1,4
Limosilactobacillus albertensis,1,1,1,0,0,0,0,0,0,0,1,4
Limosilactobacillus alvi,1,1,1,0,0,0,0,0,0,0,1,4
Limosilactobacillus antri,1,1,1,0,0,0,0,0,0,0,1,4
Limosilactobacillus caecicola,1,1,1,0,0,0,0,0,0,0,1,4
Limosilactobacillus caviae,1,1,1,0,0,0,0,0,0,0,1,4
Limosilactobacillus equigenerosi,1,1,1,0,0,0,0,0,0,0,1,4
Limosilactobacillus fastidiosus,1,1,1,0,0,0,0,0,0,0,1,4
Limosilactobacillus frumenti,1,1,1,0,0,0,0,0,0,0,1,4
Limosilactobacillus ingluviei,1,1,1,0,0,0,0,0,0,0,1,4
Limosilactobacillus mucosae,1,1,1,0,0,0,0,0,0,0,1,4
Limosilactobacillus oris,1,1,1,0,0,0,0,0,0,0,1,4
Limosilactobacillus panis,1,1,1,0,0,0,0,0,0,0,1,4
Limosilactobacillus portuensis,1,1,1,0,0,0,0,0,0,0,1,4
Limosilactobacillus reuteri,1,1,1,0,0,0,0,0,0,0,1,4
Limosilactobacillus secaliphilus,1,1,1,0,0,0,0,0,0,0,1,4
Limosilactobacillus urinaemulieris,1,1,1,0,0,0,0,0,0,0,1,4
Limosilactobacillus vaginalis,1,1,1,0,0,0,0,0,0,0,1,4
Bifidobacterium aemilianum,1,0,0,1,1,0,0,1,1,0,0,5
Bifidobacterium aerophilum,0,0,0,1,1,0,0,1,1,0,0,4
Bifidobacterium amazonense,1,0,0,1,1,0,0,1,1,0,0,5
Bifidobacterium apri,1,0,0,0,1,0,0,1,1,0,0,4
Bifidobacterium avesanii,1,0,0,0,1,0,0,1,1,0,0,4
Bifidobacterium biavatii,1,0,0,1,1,0,0,1,1,0,0,5
Bifidobacterium boum,1,0,0,0,1,0,0,1,1,0,0,4
Bifidobacterium breve,1,0,0,1,1,0,0,1,1,0,0,5
Bifidobacterium callitrichos,1,0,0,1,1,0,0,1,1,0,0,5
Bifidobacterium catenulatum,0,0,0,1,1,0,0,1,1,0,0,4
Bifidobacterium cebidarum,1,0,0,0,1,0,0,1,1,0,0,4
Bifidobacterium colobi,1,0,0,0,1,0,0,1,1,0,0,4
Bifidobacterium dentium,1,0,0,0,1,0,0,1,1,0,0,4
Bifidobacterium eulemuris,1,0,0,1,1,0,0,1,1,0,0,5
Bifidobacterium felsineum,1,0,0,0,1,0,0,1,1,0,0,4
Bifidobacterium goeldii,1,0,0,0,1,0,0,1,1,0,0,4
Bifidobacterium hapali,1,0,0,1,1,0,0,1,1,0,0,5
Bifidobacterium imperatoris,1,0,0,0,1,0,0,1,1,0,0,4
Bifidobacterium miconis,1,0,0,1,1,0,0,1,1,0,0,5
Bifidobacterium miconisargentati,1,0,0,0,1,0,0,1,1,0,0,4
Bifidobacterium mongoliense,1,0,0,0,1,0,0,1,1,0,0,4
Bifidobacterium moukalabense,1,0,0,0,1,0,0,1,1,0,0,4
Bifidobacterium phasiani,1,0,0,1,1,0,0,1,1,0,0,5
Bifidobacterium platyrrhinorum,1,0,0,1,1,0,0,1,1,0,0,5
Bifidobacterium porcinum,1,0,0,0,1,0,0,1,1,0,0,4
Bifidobacterium pullorum,0,0,0,1,1,0,0,1,1,0,0,4
Bifidobacterium ramosum,1,0,0,1,0,0,0,1,1,0,0,4
Bifidobacterium reuteri,1,0,0,1,1,0,0,1,1,0,0,5
Bifidobacterium rousetti,1,0,0,0,1,0,0,1,1,0,0,4
Bifidobacterium saguini,1,0,0,0,1,0,0,1,1,0,0,4
Bifidobacterium samirii,1,0,0,1,1,0,0,1,1,0,0,5
Bifidobacterium santillanense,1,0,0,1,1,0,0,1,1,0,0,5
Bifidobacterium scaligerum,0,0,0,1,1,0,0,1,1,0,0,4
Bifidobacterium scardovii,1,0,0,1,1,0,0,1,1,0,0,5
Bifidobacterium simiiventris,1,0,0,1,1,0,0,1,1,0,0,5
Bifidobacterium stellenboschense,1,0,0,0,1,0,0,1,1,0,0,4
Bifidobacterium thermacidophilum,1,0,0,0,1,0,0,1,1,0,0,4
Bifidobacterium thermophilum,1,0,0,0,1,0,0,1,1,0,0,4
Bifidobacterium tsurumiense,1,0,0,0,1,0,0,1,1,0,0,4
Bifidobacterium vansinderenii,1,0,0,0,1,0,0,1,1,0,0,4
Bifidobacterium vespertilionis,1,0,0,0,1,0,0,1,1,0,0,4
Bifidobacterium merycicum,1,0,0,0,1,0,0,1,1,0,0,4
Bifidobacterium tissieri,1,0,0,0,1,0,0,1,1,0,0,4
