bacteria,eps,adesao,estresse,manosidase,fosfolipase,acido_folico,bacteriocina,sais_biliares,betagalactosidase,tolerancia_gastro,metabolismo_carbono,total_funcoes
Prevotella lascolaii,1,1,1,0,0,1,0,0,0,0,1,5
Prevotella melaninogenica,1,1,1,0,0,1,0,0,0,0,1,5
Prevotella micans,1,1,1,0,0,1,0,0,0,0,1,5
Prevotella multiformis,1,1,1,0,0,1,0,0,0,0,1,5
Prevotella nigrescens,1,1,1,0,0,1,0,0,0,0,1,5
Prevotella oryzae,1,1,1,0,0,1,0,0,0,0,1,5
Prevotella pallens,1,1,1,0,0,1,0,0,0,0,1,5
Prevotella paludivivens,1,1,1,0,0,1,0,0,0,0,1,5
Prevotella pectinovora,1,1,1,0,0,1,0,0,0,0,1,5
Prevotella phocaeensis,1,1,1,0,0,1,0,0,0,0,1,5
Prevotella ruminicola,1,1,1,0,0,1,0,0,0,0,1,5
Prevotella scopos,1,1,1,0,0,1,0,0,0,0,1,5
Prevotella stercorea,1,1,1,0,0,1,0,0,0,0,1,5
Prevotella veroralis,1,1,1,0,0,1,0,0,0,0,1,5
Prevotella vespertina,1,1,1,0,0,1,0,0,0,0,1,5
Ruminococcus bovis,1,1,1,0,0,1,0,0,0,0,1,5
Ruminococcus bromii,1,1,1,0,0,1,0,0,0,0,1,5
Ruminococcus flavefaciens,1,1,1,0,0,1,0,0,0,0,1,5
Ruminococcus gauvreauii,1,1,1,0,0,1,0,0,0,0,1,5
Ruminococcus gnavus,1,1,1,0,0,1,0,0,0,0,1,5
Ruminococcus lactaris,1,1,1,0,0,1,0,0,0,0,1,5
Ruminococcus torques,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides caecicola,1,1,1,0,0,1,0,0,0,1,1,6
Lactiplantibacillus daoliensis,1,1,1,0,0,1,0,0,0,1,1,6
Lactiplantibacillus daowaiensis,1,1,1,0,0,1,0,0,0,1,1,6
Lactiplantibacillus fabifermentans,1,1,1,0,0,1,0,0,0,1,1,6
Lactiplantibacillus garii,1,1,1,0,0,1,0,0,0,1,1,6
Lactiplantibacillus herbarum,1,1,1,0,0,1,0,0,0,1,1,6
Lactiplantibacillus modestisalitolerans,1,1,1,0,0,1,0,0,0,1,1,6
Lactiplantibacillus nangangensis,1,1,1,0,0,1,0,0,0,1,1,6
Lactiplantibacillus pingfangensis,1,1,1,0,0,1,0,0,0,1,1,6
Lactiplantibacillus plajomi,1,1,1,0,0,1,0,0,0,1,1,6
Lactiplantibacillus xiangfangensis,1,1,1,0,0,1,0,0,0,1,1,6
Levilactobacillus acidifarinae,1,1,1,0,0,1,0,0,0,1,1,6
Levilactobacillus andaensis,1,1,1,0,0,1,0,0,0,1,1,6
Levilactobacillus angrenensis,1,1,1,0,0,1,0,0,0,1,1,6
Levilactobacillus bambusae,1,1,1,0,0,1,0,0,0,1,1,6
Levilactobacillus brevis,1,1,1,0,0,1,0,0,0,1,1,6
Levilactobacillus cerevisiae,1,1,1,0,0,1,0,0,0,1,1,6
Levilactobacillus enshiensis,1,1,1,0,0,1,0,0,0,1,1,6
Levilactobacillus fujinensis,1,1,1,0,0,1,0,0,0,1,1,6
Levilactobacillus fuyuanensis,1,1,1,0,0,1,0,0,0,1,1,6
